"ES_ID","Paper_ID","Group_ID","Journal_ID","Pub_year","rho","rho2","urbmax","urbmin","total_nests","variance","source","death_cause","partial_predation","Nest_type","Egg_number","Fake_eggs","Fake_proportion","Nest_position","Nest_height","Nest_openness","Study_days","Study_year","Median_year","Continent","Species","Species_latin","Zr","Zr2","VZr"
"ES104","P077","G054","BIRSTU",2008,0.1197369,0.119737,4,2,33,0.033333333,"numbers","no","alive","nat",3.7,0,0,"elevated",NA,"hole",NA,"1997",1997,"eur","Tawny_owl","Strix_aluco",0.120314092959415,0.120314194413962,0.0333333333333333
"ES105","P077","G054","BIRSTU",2008,0.1309307,0.1309308,4,2,32,0.034482759,"numbers","no","alive","nat",3.7,0,0,"elevated",NA,"hole",NA,"2002",2002,"eur","Tawny_owl","Strix_aluco",0.131686666054033,0.13168676779822,0.0344827586206897
"ES106","P077","G054","BIRSTU",2008,-0.1454786,-0.1454786,4,2,20,0.058823529,"numbers","no","alive","nat",3.7,0,0,"elevated",NA,"hole",NA,"1996",1996,"eur","Tawny_owl","Strix_aluco",-0.146518136896668,-0.146518136896668,0.0588235294117647
"ES107","P077","G054","BIRSTU",2008,-0.1601282,-0.1601282,4,2,28,0.04,"numbers","no","alive","nat",3.7,0,0,"elevated",NA,"hole",NA,"2004",2004,"eur","Tawny_owl","Strix_aluco",-0.16151826704647,-0.16151826704647,0.04
"ES108","P077","G054","BIRSTU",2008,-0.3350297,-0.3350298,4,2,29,0.038461538,"numbers","no","alive","nat",3.7,0,0,"elevated",NA,"hole",NA,"1999",1999,"eur","Tawny_owl","Strix_aluco",-0.348483219886769,-0.348483332530452,0.0384615384615385
"ES109","P077","G054","BIRSTU",2008,-0.3360108,-0.3360109,4,2,33,0.033333333,"numbers","no","alive","nat",3.7,0,0,"elevated",NA,"hole",NA,"2001",2001,"eur","Tawny_owl","Strix_aluco",-0.349588776806168,-0.34958888953345,0.0333333333333333
"ES110","P077","G054","BIRSTU",2008,-0.6839166,-0.6839166,4,2,33,0.033333333,"numbers","no","alive","nat",3.7,0,0,"elevated",NA,"hole",NA,"1995",1995,"eur","Tawny_owl","Strix_aluco",-0.836435782909767,-0.836435782909767,0.0333333333333333
"ES111","P078","G055","IBIS",2015,-0.02906646,-0.02906646,3,1,96,0.010752688,"numbers","yes","alive","nat",2,0,0,"elevated",1,"cup",NA,"2011-2013",2012,"lam","Spectacled_tyrant","Hymenops_perspicillatus",-0.0290746498396729,-0.0290746498396729,0.010752688172043
"ES112","P078","G055","IBIS",2015,-0.1336451,-0.1336451,3,1,70,0.014925373,"numbers","yes","alive","nat",4.5,0,0,"elevated",1,"cup",NA,"2011-2013",2012,"lam","Brown-and-yellow_marshbird","Pseudoleistes_virescens",-0.134449416244004,-0.134449416244004,0.0149253731343284
"ES113","P079","G056","URBHAB",2012,-0.1522284,-0.1522284,3,1,137,0.007462687,"percentage","yes","alive","nat",3.31,0,0,"ground",0,"orb",NA,"1994?1997&1999-2000",1996.5,"nam","Ovenbird","Seiurus_aurocapilla",-0.153420912801104,-0.153420912801104,0.00746268656716418
"ES114","P080","G057","ZOOZHU",2008,0.07444514,0.07444514,5,3,633,0.001587302,"numbers","yes","alive","nat",5.42,0,0,"mix",0.25,"cup",NA,"1983-1988",1985.5,"eur","Blyths_reed_warbler","Acrocephalus_dumetorum",0.0745831260750515,0.0745831260750515,0.00158730158730159
"ES115","P081","G058","ANNALE",2006,-0.6172134,-0.6172134,4,2,26,0.043478261,"numbers","yes","pred","art",4,0,0,"ground",0,"cup",28,"2005",2005,"eur",NA,NA,-0.720491084958569,-0.720491084958569,0.0434782608695652
"ES116","P082","G059","PRZPRZ",2008,-0.106836,-0.04330465,5,3,84,0.012345679,"numbers","no","alive","nat",NA,0,NA,"elevated",7,"hole",NA,"2005-2006",2006.5,"eur","Nuthatch","Sitta_europaea",-0.107245279477389,-0.0433317501304558,0.0123456790123457
"ES117","P042","G033","CONBIO",2012,-0.28,-0.28,3,2,360,0.00280112,"coefficient","yes","pred","art",2,1,0.5,"mix",0.75,"cup",18,"2010",2010,"nam",NA,NA,-0.287682072451781,-0.287682072451781,0.00280112044817927
